"role","file","source","sha256","change"
"age_length","bet.age_length","reference-inputs/job-5319/mfcl-inputs/bet.age_length","e7f591cb39b08a7b381b5e322331d5a4ca17e30008e8b976ae1b73e9111f655d","unchanged from source control"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","unchanged from source control"
"ini","bet.ini","templates/reporting-rate-association-split/bet.ini; derived from S002-TC1-NOCUT-DW10@6654763923ffa8c91b5e3df6aabc9483dc797cbd","3bf7d0260747dd2d65c5d0058268b10a04c782f54a798a2f6fce1f94dcf8f818","PTTP F25/F26 group 16 and F27/F28 group 17; target 0.52015 and penalty 242.6 per group; later group IDs shifted by one"
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","unchanged from source control"
"reg_scaling_full","bet.reg_scaling.full","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","unchanged from source control"
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag","3f1b836a844ec2ca8e70fc5814d94c5a1ebc37ff4a5571c1dc1f6b83e477dfe8","unchanged from source control"
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg","2ec8a291fae62c6f37541aec1de37444626d42b3290b371bb42b63d510034eae","unchanged from source control"
"doitall","doitall.sh","templates/reporting-rate-association-split/doitall.sh","227523a5ccc5841352a5008b10534bb095af3cde089342f29ea218e9fc867d75","unchanged model structure from source control"
"fishery_map","fishery_map.R","templates/reporting-rate-association-split/fishery_map.R","007f9ad46383da27b23e10d6f3a55bfcc5cc95c03e93f4fb4dac81d0d30aa38f","unchanged model structure from source control"
"tag_reporting_map","tag_rep_map.R","templates/reporting-rate-association-split/tag_rep_map.R","5c8d7b324c4796585c7f4b3e300ef10c45539c4a9bcd1b3679177959cf12765d","audit map regenerated for the split reporting groups"
