"source_job","fishery","fishery_name","group","group_name","recommended_divisor"
12306,1,"LL.WEST.ALL.1",1,"Main longline",88
12306,2,"LL.EAST.ALL.1",1,"Main longline",88
12306,3,"LL.US.1",1,"Main longline",88
12306,4,"LL.ALL.2",1,"Main longline",88
12306,5,"LL.OS.2",2,"Offshore longline",81
12306,6,"LL.ARCH.3",1,"Main longline",88
12306,7,"LL.WEST.3",1,"Main longline",88
12306,8,"LL.EAST.4",1,"Main longline",88
12306,9,"LL.OS.3",2,"Offshore longline",81
12306,10,"LL.ALL.5",1,"Main longline",88
12306,11,"LL.AU.5",1,"Main longline",88
12306,12,"PS.JP.1",3,"Purse seine, set type unavailable",142
12306,13,"PL.JP.1",7,"Other extraction fisheries",388
12306,14,"HL.ID.2",6,"Handline",118
12306,15,"HL.PH.2",6,"Handline",118
12306,16,"PL.ALL.2",7,"Other extraction fisheries",388
12306,17,"PS.ID.2",3,"Purse seine, set type unavailable",142
12306,18,"PS.PH.2",3,"Purse seine, set type unavailable",142
12306,19,"PS.ASS.2",4,"Associated purse seine",72
12306,20,"PS.UNA.2",5,"Unassociated purse seine",45
12306,21,"MISC.ID.2",7,"Other extraction fisheries",388
12306,22,"MISC.PH.2",7,"Other extraction fisheries",388
12306,23,"MISC.VN.2",7,"Other extraction fisheries",388
12306,24,"PL.ALL.WEST.3",7,"Other extraction fisheries",388
12306,25,"PS.ASSOC.WEST.3",4,"Associated purse seine",72
12306,26,"PS.ASSOC.EAST.4",4,"Associated purse seine",72
12306,27,"PS.UNASSOC.WEST.3",5,"Unassociated purse seine",45
12306,28,"PS.UNASSOC.EAST.4",5,"Unassociated purse seine",45
12306,29,"Index R1",8,"Regional index fisheries",72
12306,30,"Index R2",8,"Regional index fisheries",72
12306,31,"Index R3",8,"Regional index fisheries",72
12306,32,"Index R4",8,"Regional index fisheries",72
12306,33,"Index R5",8,"Regional index fisheries",72
