role,file,source,source_commit,sha256,note
age_length,bet.age_length,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c,Exact source input copied byte-for-byte
frq,bet.frq,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c,Exact source input copied byte-for-byte
ini,bet.ini,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,cccda03c122fbd11995132bd68647c5703c38e7fc25538c4ba91fa22024ecfeb,Exact source input copied byte-for-byte
reg_scaling,bet.reg_scaling,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3,Active regional-scaling target and covariance retained; parest flag 77=25. Standardized SD multiplier 1/sqrt(25)=0.2000; effective covariance Sigma/25. Flags 78-81 and the period window are unchanged.
static_input,bet.reg_scaling.full,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed,Exact source input copied byte-for-byte
tag,bet.tag,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f,Exact source input copied byte-for-byte
static_input,fishery_map.R,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,007f9ad46383da27b23e10d6f3a55bfcc5cc95c03e93f4fb4dac81d0d30aa38f,Exact source input copied byte-for-byte
static_input,mfcl.cfg,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,2ec8a291fae62c6f37541aec1de37444626d42b3290b371bb42b63d510034eae,Exact source input copied byte-for-byte
static_input,tag_rep_map.R,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,c950b2e1472da0a5597e911485f05785675eb017f2a3e9bab47f1f0e42b00852,Exact source input copied byte-for-byte
doitall,doitall.sh,Kflow Job 12307 fitted model S023-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW1-RRPTTP26,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,53c7e437a14e68187487bc02dd33366a04beadfa51a845a8d1d36ddf16d074be,"Model control with parest flag 77=25; retained LF/DM, reporting-rate, 1% tail-compression, common CPUE sigma, and F25/F26 selectivity settings are documented in README.md."
francis_audit,francis_weights.csv,Calculated from Kflow Job 12307 fitted output,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,4837dc40fbb2f2d221e09eeaa2627917645a12e104d4d2ce1091649233e7e64f,Full Francis TA1.8 audit for all 33 fisheries
cpue_audit,cpue_mle.csv,Calculated from Kflow Job 12307 fitted output,8df6a0e4b9856c5cd1e06ab7010c6e71c773f428,e9eb344b7b9689b5cbeb8beb5c20ca77ec98fc5539e7ff435efe184fd3758c58,MFCL-equivalent MLE using fishery-mean-normalized FRQ field-7 lambda
