"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","","Exact retained effort-crept FRQ; effort creep is not reapplied."
"ini","bet.ini","retained source-model MIX015 INI","86627214cbac6db5766841e404bb32ea4f6afe61","Reporting-rate configuration retained unchanged."
"tag","bet.tag","retained low-recapture-filtered BET tag input","44f804341a8e1d9b46e8e6c147dee884c476c28d","Tag data retained unchanged."
"age_length","bet.age_length","reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length","96a06d21ef3c666f39ce456d3a6818b6c17324c4","Exact SUB075 input."
"reg_scaling","bet.reg_scaling","retained source-model regional-scaling input","26c74dc6f303faa951b1ab331d7de14ea20b7489","Regional-scaling settings retained unchanged."
"reg_scaling_full","bet.reg_scaling.full","retained complete regional-scaling source","26c74dc6f303faa951b1ab331d7de14ea20b7489","Not read by MFCL."
"doitall","doitall.sh","Job 12292 S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11","84afb5a52536b1043c47a66dc65c0c4f054ee44e","Only F1-F33 flag-49 divisors change; CPUE flag 92 remains 35,24,21,24,23."
"mfcl_config","mfcl.cfg","retained five-region MFCL configuration","","Unchanged."
"fishery_map","fishery_map.R","retained public fishery map","26c74dc6f303faa951b1ab331d7de14ea20b7489","Unchanged."
"tag_reporting_map","tag_rep_map.R","derived from retained bet.ini and fishery map","","Unchanged."
"design_context","GROUPED_FRANCIS_METHOD.md","GROUPED_FRANCIS_METHOD.md","","Public method, validation, and literature record."
