role,file,source,source_commit,sha256,note
age_length,bet.age_length,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c,Exact source input copied byte-for-byte
frq,bet.frq,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c,Exact source input copied byte-for-byte
ini,bet.ini,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,5adf06f002403effb2c5e40d273b900e5a8e0ad5796a61e5f9eef5aa625e0abc,Exact source input copied byte-for-byte
reg_scaling,bet.reg_scaling,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3,Active regional-scaling target and covariance retained; parest flag 77=11. Standardized SD multiplier 1/sqrt(11)=0.3015; effective covariance Sigma/11. Flags 78-81 and the period window are unchanged.
static_input,bet.reg_scaling.full,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed,Exact source input copied byte-for-byte
tag,bet.tag,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f,Exact source input copied byte-for-byte
static_input,fishery_map.R,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,007f9ad46383da27b23e10d6f3a55bfcc5cc95c03e93f4fb4dac81d0d30aa38f,Exact source input copied byte-for-byte
static_input,mfcl.cfg,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,2ec8a291fae62c6f37541aec1de37444626d42b3290b371bb42b63d510034eae,Exact source input copied byte-for-byte
static_input,tag_rep_map.R,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,af6c247a95a3f2f14a36322c7170e32aa9f709557723e486e3c9e722d333c2b6,Exact source input copied byte-for-byte
doitall,doitall.sh,Kflow Job 12292 fitted model S006-TC1-NOCUT-DW10-SUB075-MIX015-TAGF2ON-REGW11,84afb5a52536b1043c47a66dc65c0c4f054ee44e,13098d6680996845db5fb5e4dafc70e5dd3b5226dd8467e71cba7cfceee49ae6,"Model control with parest flag 77=11; retained LF/DM, reporting-rate, 1% tail-compression, common CPUE sigma, and independent seven-node F25/F26 selectivity settings are documented in README.md."
francis_audit,francis_weights.csv,Calculated from Kflow Job 12292 fitted output,84afb5a52536b1043c47a66dc65c0c4f054ee44e,447078bbd54f733fff398888f11205765d25c30a4ee8f2c4c0d62532821ccef4,Full Francis TA1.8 audit for all 33 fisheries
cpue_audit,cpue_mle.csv,Calculated from Kflow Job 12292 fitted output,84afb5a52536b1043c47a66dc65c0c4f054ee44e,fa92f13d7ca3172193c889db2e4b621a97d006819183f96eeefbbc36ac993510,MFCL-equivalent MLE using fishery-mean-normalized FRQ field-7 lambda
